Rank,Player,basic_v4,team,pos,minutes,minutes_per_game
137,Aaron Gordon,0.7754437425426391,DEN,PF,1005.0,27.9
138,Kyle Anderson,0.7757628634133102,3TM,SF,853.0,19.8
139,Vít Krejčí,0.7763475087270094,2TM,PG,1392.0,21.4
140,Christian Braun,0.7774679543562597,DEN,SG,1399.0,31.8
141,Max Christie,0.7787354615446846,DAL,SG,2244.0,29.1
142,Johnny Furphy,0.7799215521441322,IND,SG,643.0,18.4
143,Sion James,0.7822138336890289,CHO,SG,1843.0,22.5
144,DeMar DeRozan,0.7822550011358181,SAC,PF,2406.0,31.2
145,Jose Alvarado,0.7876169374994931,2TM,PG,1370.0,19.9
146,Cameron Johnson,0.7886337034562733,DEN,SF,1647.0,30.5
147,Ben Sheppard,0.7905054737188654,IND,SG,1390.0,21.4
148,Brandon Williams,0.791512659457384,DAL,PG,1463.0,22.2
149,Trendon Watford,0.7939627465700583,PHI,PF,864.0,16.3
150,Marcus Smart,0.7946606292308865,LAL,SG,1769.0,28.5
151,Ochai Agbaji,0.795323153200618,2TM,SG,973.0,15.7
152,Pascal Siakam,0.7959416630007984,IND,PF,2057.0,33.2
153,Tidjane Salaün,0.7979614535145813,CHO,PF,575.0,15.5
154,Precious Achiuwa,0.8004541053577862,SAC,C,1745.0,23.9
155,Jock Landale,0.8016984809511316,2TM,C,1506.0,22.1
156,Derrick Jones Jr.,0.8033706856400524,LAC,SF,1350.0,27.0
157,Pete Nance,0.8043895418841985,MIL,PF,737.0,15.7
158,Anthony Gill,0.8052201131599043,WAS,PF,951.0,17.3
159,Nikola Vučević,0.8067745353967924,2TM,C,1818.0,28.4
160,Carter Bryant,0.8077834243454183,SAS,PF,818.0,11.5
161,Hugo González,0.8089553630467629,BOS,SF,1084.0,14.6
162,Rasheer Fleming,0.8112190392445643,PHO,PF,673.0,12.2
163,Kris Murray,0.8115170355884503,POR,SF,1333.0,23.4
164,Terrence Shannon Jr.,0.8120428674108578,MIN,SG,538.0,12.5
165,Drake Powell,0.8151679788632181,BRK,SG,1320.0,21.0
166,Keldon Johnson,0.8152592760038939,SAS,SF,1911.0,23.3
167,Zeke Nnaji,0.8157981158138694,DEN,PF,626.0,12.0
168,Immanuel Quickley,0.8171968408837136,TOR,PG,2231.0,31.9
169,Payton Pritchard,0.8171991969596837,BOS,PG,2556.0,32.4
