Rank,Player,basic_v5,team,pos,minutes,minutes_per_game
237,Jordan Goodwin,0.9648355731478944,PHO,PG,1572.0,22.5
238,De'Anthony Melton,0.9681854484835454,GSW,PG,1125.0,23.0
239,LeBron James,0.9686173379319217,LAL,SF,1989.0,33.2
240,Gary Harris,0.972034397014285,MIL,SG,661.0,13.8
241,Nae'Qwan Tomlin,0.9734522200696905,CLE,PF,1004.0,15.7
242,Rob Dillingham,0.981811052764514,2TM,PG,970.0,14.9
243,Derik Queen,0.9861302953387605,NOP,C,2023.0,25.0
244,Evan Mobley,0.9928749577035281,CLE,PF,2074.0,31.9
245,Vít Krejčí,0.9960444961339981,2TM,PG,1392.0,21.4
246,Coby White,0.9966225493736423,2TM,SG,1249.0,25.0
247,Kam Jones,1.0000106107183044,IND,SG,616.0,16.6
248,Jrue Holiday,1.0023987801495133,POR,PG,1560.0,29.4
249,Dyson Daniels,1.0027536341949588,ATL,SG,2520.0,33.2
250,Dominick Barlow,1.0071425163849477,PHI,PF,1689.0,23.8
251,Nolan Traoré,1.0116624048290697,BRK,PG,1243.0,22.2
252,Stephon Castle,1.0122784338053363,SAS,PG,2038.0,30.0
253,Kevin Love,1.014284325518283,UTA,PF,613.0,16.6
254,Keon Ellis,1.0159706231556282,2TM,SG,1478.0,20.5
255,Mike Conley,1.0177971160283672,MIN,PG,991.0,18.4
256,Anfernee Simons,1.0182613957076672,2TM,SG,1372.0,24.9
257,Jalen Green,1.0264539233557533,PHO,SG,828.0,25.9
258,Jamal Shead,1.0271884145410908,TOR,PG,1852.0,22.6
259,Jaylin Williams,1.0277255375352685,OKC,PF,1277.0,19.6
260,Tyrese Maxey,1.031381448476754,PHI,PG,2661.0,38.0
261,Alex Caruso,1.0340417055765452,OKC,SG,1020.0,18.2
262,Landry Shamet,1.0343107069687987,NYK,SG,1171.0,23.0
263,Dillon Brooks,1.0386418581454684,PHO,SF,1702.0,30.4
264,Cam Spencer,1.0411612790820062,MEM,SG,1714.0,23.8
265,Khris Middleton,1.0435461600662448,2TM,SF,1439.0,22.8
266,Cason Wallace,1.0488400335651686,OKC,SG,2046.0,26.6
267,Collin Murray-Boyles,1.052236965367918,TOR,PF,1246.0,21.9
268,Deni Avdija,1.0524575345766558,POR,SF,2199.0,33.3
269,Dean Wade,1.0527901453185233,CLE,PF,1318.0,22.3
270,Jalen Johnson,1.0603036489336883,ATL,SF,2532.0,35.2
271,Duncan Robinson,1.0620521657327586,DET,SG,2113.0,27.4
272,Isaiah Joe,1.0630738700024898,OKC,SG,1507.0,21.2
273,Rui Hachimura,1.065102926843613,LAL,PF,1927.0,28.3
274,Shaedon Sharpe,1.0687157315903246,POR,SG,1471.0,29.4
275,Sam Merrill,1.0712570333696139,CLE,SG,1377.0,26.5
276,Klay Thompson,1.0831221462936798,DAL,SF,1497.0,21.7
277,Anthony Edwards,1.0838485693489452,MIN,SG,2137.0,35.0
278,Tyus Jones,1.0849724146406727,3TM,PG,979.0,14.6
279,Karl-Anthony Towns,1.0886022883258955,NYK,C,2322.0,31.0
