Rank,Player,basic_v2,team,pos,minutes,minutes_per_game,games
306,Jalen Brunson,1.628637274932718,NYK,PG,2590.0,35.0,74.0
307,Isaiah Hartenstein,1.629738552339751,OKC,C,1137.0,24.2,47.0
308,Jonas Valančiūnas,1.6584838852086945,DEN,C,871.0,13.4,65.0
309,Jusuf Nurkić,1.6599904385632027,UTA,C,1083.0,26.4,41.0
310,Dylan Cardwell,1.6634986773177203,SAC,C,907.0,20.6,44.0
311,Jaylen Brown,1.6980296775581605,BOS,SF,2443.0,34.4,71.0
312,Jalen Duren,1.7079115431155723,DET,C,1976.0,28.2,70.0
313,Stephen Curry,1.7081947741616286,GSW,PG,1329.0,30.9,43.0
314,Kawhi Leonard,1.7128694744236124,LAC,SF,2085.0,32.1,65.0
315,Clint Capela,1.7252703941836747,HOU,C,926.0,12.3,75.0
316,Karl-Anthony Towns,1.744350825162273,NYK,C,2322.0,31.0,75.0
317,Jamal Shead,1.7488676478505114,TOR,PG,1852.0,22.6,82.0
318,Kel'el Ware,1.748957396437652,MIA,C,1704.0,22.1,77.0
319,Robert Williams,1.7860969951327244,POR,C,1008.0,17.1,59.0
320,Ryan Nembhard,1.7979427371380847,DAL,PG,1171.0,19.5,60.0
321,Donovan Clingan,1.7989431274672523,POR,C,2094.0,27.2,77.0
322,Isaiah Collier,1.8300032658004866,UTA,PG,1517.0,25.7,59.0
323,Josh Giddey,1.8538225193459135,CHI,PG,1731.0,32.1,54.0
324,LaMelo Ball,1.9156866886627195,CHO,PG,2017.0,28.0,72.0
325,Andre Drummond,2.001683781836514,PHI,C,1231.0,19.5,63.0
326,T.J. McConnell,2.0070029823313966,IND,PG,963.0,17.2,56.0
327,Shai Gilgeous-Alexander,2.130174471467252,OKC,PG,2259.0,33.2,68.0
328,Cade Cunningham,2.145890117742833,DET,PG,2172.0,33.9,64.0
329,Victor Wembanyama,2.1749013707854505,SAS,C,1866.0,29.2,64.0
330,Mitchell Robinson,2.2733712968073583,NYK,C,1175.0,19.6,60.0
331,Luka Dončić,2.331589154648966,LAL,PG,2289.0,35.8,64.0
332,Giannis Antetokounmpo,2.508870652759075,MIL,PF,1039.0,28.9,36.0
333,Nikola Jokić,2.8735012167417486,DEN,C,2265.0,34.8,65.0
