Rank,Player,basic_v3,team,pos,minutes,minutes_per_game
210,Jordan Clarkson,0.9115475801712241,NYK,SG,1279.0,17.8
211,Johnny Furphy,0.9200478975882137,IND,SG,643.0,18.4
212,Naz Reid,0.9211065390646309,MIN,C,2007.0,26.1
213,Oso Ighodaro,0.9249516342005215,PHO,PF,1808.0,22.0
214,Jeremiah Fears,0.9276837197606514,NOP,PG,2112.0,25.8
215,Will Riley,0.928098321371376,WAS,SF,1633.0,22.1
216,Zeke Nnaji,0.9297714997733258,DEN,PF,626.0,12.0
217,Myles Turner,0.9300951495497825,MIL,C,1912.0,26.9
218,Danny Wolf,0.93993492329729,BRK,PF,1187.0,20.8
219,Deni Avdija,0.9451253972704023,POR,SF,2199.0,33.3
220,Jayson Tatum,0.9477489580342692,BOS,PF,522.0,32.6
221,Mouhamed Gueye,0.9526647118919805,ATL,PF,1179.0,15.3
222,Kris Dunn,0.9552809013300597,LAC,PG,2230.0,27.2
223,Tim Hardaway Jr.,0.9563496508959859,DEN,SG,2127.0,26.6
224,Drew Eubanks,0.9578338080988525,SAC,C,552.0,13.1
225,Michael Porter Jr.,0.964088292589429,BRK,SF,1689.0,32.5
226,Jalen Smith,0.9657850196355102,CHI,C,1095.0,20.7
227,Reed Sheppard,0.9793064753273738,HOU,SG,2147.0,26.2
228,Collin Sexton,0.9805540650748052,2TM,SG,1614.0,23.7
229,Ben Saraf,0.9815920838668686,BRK,SG,916.0,20.8
230,Pat Spencer,0.9838591857425061,GSW,PG,1229.0,18.6
231,Jalen Green,0.9883122497713137,PHO,SG,828.0,25.9
232,Bub Carrington,0.9898110905460271,WAS,PG,2271.0,27.7
233,Ja'Kobe Walter,0.9899609609499662,TOR,SG,1474.0,20.5
234,Jalen Johnson,0.9918707463943186,ATL,SF,2532.0,35.2
235,Payton Pritchard,0.9943028896390714,BOS,PG,2556.0,32.4
236,Thomas Bryant,0.9943154665676406,CLE,C,732.0,12.2
237,Tristan Vukcevic,0.9953456338069551,WAS,C,671.0,13.7
238,Jarrett Allen,1.003644889780313,CLE,C,1519.0,27.1
239,Immanuel Quickley,1.0044330525149983,TOR,PG,2231.0,31.9
240,Jonathan Isaac,1.0070765272295372,ORL,PF,521.0,10.0
241,Rasheer Fleming,1.0095820174401309,PHO,PF,673.0,12.2
242,Drake Powell,1.012600768953072,BRK,SG,1320.0,21.0
243,Keaton Wallace,1.0150525944848339,ATL,PG,536.0,10.1
244,Dorian Finney-Smith,1.015884239132221,HOU,PF,620.0,16.8
245,Isaiah Joe,1.016746277216701,OKC,SG,1507.0,21.2
246,Ryan Rollins,1.0202521834544807,MIL,PG,2376.0,32.1
247,Javon Small,1.0234308203011364,MEM,PG,830.0,20.2
248,Rob Dillingham,1.023695768694951,2TM,PG,970.0,14.9
249,Lonzo Ball,1.0238365397655955,CLE,PG,728.0,20.8
250,Jock Landale,1.0283998023873995,2TM,C,1506.0,22.1
251,Julius Randle,1.0285597733268101,MIN,PF,2610.0,33.0
252,Jamal Murray,1.0325173907107508,DEN,PG,2652.0,35.4
253,Anthony Edwards,1.0327958202391057,MIN,SG,2137.0,35.0
254,Derik Queen,1.0350502338395893,NOP,C,2023.0,25.0
255,Pascal Siakam,1.0403308308251948,IND,PF,2057.0,33.2
256,Brandon Williams,1.0473966742893845,DAL,PG,1463.0,22.2
257,Guerschon Yabusele,1.0531384863031696,2TM,C,1007.0,15.0
258,Kam Jones,1.0544042403779574,IND,SG,616.0,16.6
